nombre_shp_l,nombre_capa,amb,ambito,codigo_ambito,grupo,codigo_grupo,dato,periodo_de_actualizacion,definiciones,codigo_capa,calidad,actor,institucion,tipo_de_actor,tipo_de_informacion,unidad_minima_de_analisis,geometria,ano,accesibilidad,link,trazabilidad,esta_en_la_carpeta,Zonas.Rurales,Límites.y.fronteras,Asentamientos.Humanos,Zonas.Urbanas,Gestión.Ambiental,Equipamientos,Infraestructura.Crítica,Emergencias,Seguridad.pública,Gestión.Hídrica,Servicios.Básicos,Energía,Telecomunicaciones,Actividades.Productivas,Bienestar.Social,Cultura.y.patrimonio,Salud.Pública,Educación,Servicios.públicos,Integración.Social,Vivienda,Vulnerabilidad,Amenazas,Transporte.Público,Congestión,Vialidad,Cambio.Climático,Emisiones.y.contaminación,Normativa.territorial,Desarrollo.Regional,nombre_shp_fichas,nombre_shp_catalogo,nombre_shp_etiquetas
alimentador_rm,BAS_alimentador_rm,BAS,información base,01,Equipamientos y Servicios Básicos,0102,Red de conexión eléctrica formal,Indefinido,"Los alimentadores son “aquellos conductores eléctricos que van entre el equipo de medida y el primer tablero de la instalación, o los conductores controlados desde el tablero general y que alimentan tableros generales auxiliares o tableros de distribución” (SEC, 2021). El shapefile contiene el nombre del alimentador, la empresa a cargo y la longitud de este. Esta capa proporciona información detallada sobre la ubicación y extensión de la red de alimentadores eléctricos. Es útil para las empresas eléctricas y las autoridades responsables de la gestión del suministro eléctrico, ya que les permite tener un panorama completo de la infraestructura existente. Pueden utilizar esta información para planificar y gestionar de manera más eficiente la expansión de la red, identificar áreas con mayor demanda eléctrica y tomar decisiones informadas sobre la mejora de la infraestructura. Esto facilita las labores de mantenimiento, inspección y reparación de la red eléctrica, ya que los técnicos pueden acceder fácilmente a la información geográfica y planificar sus actividades de manera eficiente.",30207,idóneo,Superintendencia de Electricidad y Combustibles,Superintendencia de Electricidad y Combustibles,Público,Base,-,-,-,Transparencia,-,Entregado,SI,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alimentador_RM,Alimentador_RM,Alimentador_RM
allegamiento,BAS_allegamiento,BAS,información base,01,Socioeconómico,0103,Índice de allegamiento,Periódico largo plazo,"El allegamiento corresponde a la situación que se produce cuando dos o más hogares o núcleos familiares comparten una misma vivienda en el caso del allegamiento interno, y el allegamiento externo sería la presencia de más de una vivienda física compartiendo el mismo terreno. Esta situación da cuenta del déficit habitacional, pudiendo aumentar los niveles de hacinamiento y empeorando la calidad de vida de los hogares (Soto Cornejo, 2009). La recopilación de esta información es necesaria para la elaboración de políticas públicas que busquen disminuir el déficit habitacional.",NA,idóneo,Observatorio de Ciudades UC,Observatorio de Ciudades UC,Academia,Indicador,Zona Censal,Polígono,2017,Dato abierto,NA,Entregado,SI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Allegamiento,Allegamiento,Allegamiento
antenas_en_servicio_ley_de_torres,BAS_antenas_en_servicio_ley_de_torres,BAS,información base,01,Equipamientos y Servicios Básicos,0102,Antenas,Indefinido,"Una antena es un “dispositivo pequeño diseñado para emitir ondas radioeléctricas, distinto de la torre, poste o estructura soporte que lo sostiene. La transmisión de estas ondas radioeléctricas es lo que se conoce comúnmente como la “señal celular” que está en el aire y hace posible la comunicación de los teléfonos celulares y el acceso a Internet móvil” (Subsecretaría de Telecomunicaciones, s.f.). El contenido de la capa que entrega la institución se relaciona principalmente a la localización de la infraestructura, la compañía que la gestiona, tipo de antena, dirección, datos de comuna, región y documentos asociados. La funcionalidad que esta capa tiene es para observar la cobertura de las antenas base la Ley de Torres que hay en las distintas comunas, de tal forma que se puedan identificar zonas con falta de este recurso y así elaborar políticas públicas que permitan dar acceso a este servicio",10202,idóneo,Subsecretaría de Telecomunicaciones,Ministerio de Energía,Público,Base,Predio,Punto,2021,Dato abierto,http://www.geoportal.cl/geoportal/catalog/search/resource/resumen.page?uuid={2E96BAB1-6FAF-4123-9466-65B2508650C6},Entregado,SI,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antenas_en_Servicio_Ley_de_Torres,Antenas_en_Servicio_Ley_de_Torres,Antenas_en_Servicio_Ley_de_Torres
apr_doh_chile,BAS_apr_doh_chile,BAS,información base,01,Equipamientos y Servicios Básicos,0102,Localización APR,Indefinido,"El programa de Agua Potable Rural (APR) está destinado a “dotar del servicio de agua potable a las localidades rurales, para lo cual se aplica parcialmente la normativa contenida en el DFL Nº 382, de 1988 del MOP, Ley General de Servicios Sanitarios”. Esta capa contiene la localización de las APR en forma de punto, el cual hace referencia a una parte de la infraestructura hídrica; en donde en su mayoría corresponden a la localización del estanque de acumulación de agua. Pueden utilizar esta información para planificar y gestionar de manera más eficiente el suministro de agua potable, ya que permite identificar las zonas que cuentan con acceso a agua potable y aquellas que aún carecen de servicios básicos. Esto es especialmente útil para la planificación de nuevas infraestructuras, la construcción de nuevos puntos de suministro o la mejora de las condiciones de acceso al agua potable en comunidades rurales.",NA,idóneo,Dirección de Obras Hidraulicas,Ministerio de Obras Públicas,Público,Base,Predio,Punto,2023,Dato abierto,https://sitministerial.maps.arcgis.com/apps/webappviewer/index.html?id=6c3d4993fc514470a4fc1a8f22077776,Entregado,Si,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APR_DOH_CHILE,APR_DOH_CHILE,APR_DOH_CHILE
apr_red,BAS_apr_red,BAS,información base,01,Equipamientos y Servicios Básicos,0102,Red de distribución de APR,Indefinido,"La red de distribución corresponde al sistema por donde se distribuye el suministro a las viviendas rurales. Esta capa representa en forma de línea la red de distribución. Esta información es útil para las empresas de servicios sanitarios y las autoridades encargadas de la gestión del agua, ya que les permite tener un registro preciso de la infraestructura existente. Pueden utilizar esta información para planificar y gestionar de manera más eficiente el suministro de agua potable, ya que permite identificar las zonas que cuentan con acceso a agua potable y aquellas que aún carecen de servicios básicos. Esto es especialmente útil para la planificación de nuevas infraestructuras, la construcción de nuevos puntos de suministro o la mejora de las condiciones de acceso al agua potable en comunidades rurales.",10218,idóneo,Dirección de Obras Hidraulicas,Ministerio de Obras Públicas,Público,Base,Predio,Línea,2022,Transparencia,Transparencia,Entregado,SI,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APR_red,APR_red,APR_red
areas_monumentos_nacionales,BAS_areas_monumentos_nacionales,BAS,información base,01,Equipamientos y Servicios Básicos,0102,Áreas de monumentos nacionales,Periódico corto plazo,"En Chile los Monumentos Nacionales que son catalogados por el Ministerio de las Culturas, las Artes y el Patrimonio (2020). La presente capa de información geográfica corresponde a una cobertura que contiene polígonos de áreas de protección de los Monumentos Nacionales, que cuentan con límites oficiales, en sus categorías de Monumento Histórico, Zona Típica o Pintoresca y Santuario de la Naturaleza. La presente especificación se actualiza mensualmente, los primeros cinco días de cada mes, en razón de la declaración y publicación de nuevos Monumentos Nacionales. Una capa de información geográfica que contenga los polígonos de los monumentos nacionales en Chile puede ser utilizada para planificar y gestionar el turismo en las áreas cercanas a los monumentos nacionales, lo que permitiría identificar posibles rutas turísticas y facilitar el acceso a los visitantes. Además, esta información puede ser útil para la conservación y preservación del patrimonio cultural y arqueológico de Chile, ya que permite a las autoridades competentes monitorear y proteger los sitios de valor histórico y cultural. Asimismo, la información geográfica puede ser empleada para fines educativos, tanto para la enseñanza formal como para la difusión de la cultura y la historia de Chile en medios digitales. Además, los datos geográficos pueden ser integrados con otras capas de información, como la ubicación de las zonas urbanas, áreas protegidas, infraestructura de transporte, entre otras, lo que permite tener una visión más completa y detallada del territorio y su relación con el patrimonio cultural y natural.",NA,idóneo,"Ministerio de las Culturas, las Artes y el Patrimonio","Ministerio de las Culturas, las Artes y el Patrimonio",Público,Base,NA,NA,NA,Dato abierto,https://ide.patrimoniocultural.gob.cl/,Entregado,SI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,areas_monumentos_nacionales,areas_monumentos_nacionales,areas_monumentos_nacionales
bs14_vulnerab_niñs,BAS_bs14_vulnerab_nins,BAS,información base,01,Socioeconómico,0103,Vulnerabilidad escolar de niños y niñas que asisten a nivel básico y medio.,Periódico largo plazo,"Según el Instituto Nacional de Estadísticas (2020), el índice de vulnerabilidad escolar de niños y niñas que asisten a nivel básico y medio es un indicador que “Mide la condición de riesgo asociada a los estudiantes de educación básica y media de establecimientos municipales o particulares subvencionados del país, según el nivel de vulnerabilidad. La población identificada como “vulnerable” está clasificada en 3 prioridades: 1era es el grupo que reúne a los estudiantes con riesgos principalmente socioeconómicos; 2da es el grupo con menor vulnerabilidad socioeconómica y que presenta riesgos socio-educativos asociados a problemas de rendimiento escolar, asistencia o deserción del sistema educacional; 3ra es el grupo que reúne a estudiantes con menor vulnerabilidad socioeconómica y que no presenta los problemas identificados en el segundo grupo”. El Índice de Vulnerabilidad Escolar (IVE) es calculado directamente por el Sistema Nacional de Asignación con Equidad (SINAE), donde un porcentaje alto indica una mayor situación de vulnerabilidad de los estudiantes. Esta capa de información geográfica puede ser útil para identificar áreas donde los estudiantes pueden estar en mayor riesgo de no tener acceso a oportunidades educativas equitativas debido a su situación socioeconómica. Esta información puede ser utilizada por las autoridades educativas para desarrollar políticas y programas específicos para mejorar el acceso y la calidad de la educación para estos estudiantes, así como para asignar recursos de manera más eficiente. También puede ser utilizada por organizaciones y grupos comunitarios para identificar áreas donde se necesita una mayor inversión en recursos y servicios para apoyar a los estudiantes y sus familias.",NA,idóneo,Sistema de Indicadores de Calidad de Vida Rural,Instituto Nacional de Estadísticas,Público,Indicador,Comuna,Polígono,2021,Dato abierto,https://www.ine.gob.cl/herramientas/portal-de-mapas/sicvir,Entregado,SI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,BS14_VULNERAB_NIÑS,BS14_VULNERAB_NIÑS,BS14_VULNERAB_NIÑS
caserios_2017,BAS_caserios_2017,BAS,información base,01,Censo de Población y Vivienda,0101,Caseríos,Periódico largo plazo,"“Entidad rural con nombre propio que posee 3 viviendas o más, cercanas entre sí, con menos de 301 habitantes y que no forma parte de otra entidad” (INE. 2019). Complementa con aldeas, ya que proporcionan los principales datos que hacen referencia a pequeños poblados rurales concentrados. Esta información, de carácter público podría proporcionar datos relevantes para el análisis de la distribución de la población, conocer sus patrones de crecimiento, las densidades demográficas, los índices de envejecimiento, el género, entre otros. Resulta valiosa para el diseño de políticas públicas orientadas al desarrollo demográfico y social de la región, proporcionando insumos para la planificación y determinación de la accesibilidad rural, y para el diseño políticas de focalización de la inversión en zonas rurales concentradas. En vista de la gestión del riesgo de desastres socionaturales, es importante conocer la ubicación y distribución de la población en relación a elementos territoriales como ríos o montañas. Esto permitiría diseñar planes de ordenamiento territorial más precisos y eficientes, garantizando la sostenibilidad ambiental y el bienestar social de la población.",010111,idóneo,Instituto Nacional de Estadísticas,Instituto Nacional de Estadísticas,Público,Base,Entidad,Polígono,2017,Dato abierto,https://www.ine.gob.cl/herramientas/portal-de-mapas/geodatos-abiertos,Entregado,SI,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caserios_2017,Caserios_2017,Caserios_2017
centrales_termoele_20181016234834,BAS_centrales_termoele_20181016234834,BAS,información base,01,Equipamientos y Servicios Básicos,0102,Termoeléctrica,Indefinido,"Las centrales de energía termoeléctrica son aquellas que “utilizan combustibles fósiles como carbón, gas natural o derivados del petróleo, los que son fuentes de energía no renovable, utilizadas en un ciclo termodinámico para mover una turbina y generar electricidad”. La capa geográfica de Termoeléctricas representa la ubicación y extensión de las plantas de generación eléctrica que utilizan la combustión de combustibles fósiles, como carbón o gas. Estas plantas son importantes para la generación de energía eléctrica en Chile, y su distribución geográfica puede ser utilizada en un Sistema de Información Geográfica (SIG) para visualizar su ubicación en relación a otras capas geográficas relevantes, como la red de transmisión eléctrica y las zonas de consumo de energía. Además, esta capa puede ser utilizada para realizar análisis espaciales y de planificación energética, incluyendo la evaluación de posibles impactos ambientales y la identificación de áreas prioritarias para el desarrollo de fuentes de energía renovable. En resumen, la capa de Termoeléctricas es una capa importante y funcional en un SIG que permite visualizar y analizar la distribución de las plantas de generación de energía eléctrica en el país.",10240,idóneo,Superintendencia de Electricidad y Combustible,Superintendencia de Electricidad y Combustible,Público,Base,Manzana,Punto,2018,Dato abierto,https://energiamaps.cne.cl/#,Entregado,SI,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centrales_termoele_20181016234834,centrales_termoele_20181016234834,centrales_termoele_20181016234834
companias_bomberos,BAS_companias_bomberos,BAS,información base,01,Equipamientos y Servicios Básicos,0102,Cuerpos y compañías de bomberos,Indefinido,"“En cada comuna o agrupación de comunas debe existir solo un cuerpo de Bomberos, que debe estar integrado por compañías y brigadas. Los cuerpos son supervisados por la Junta Nacional de Cuerpos de Bomberos de Chile. Los cuerpos y la Junta Nacional forman el Sistema Nacional de Bomberos, que se considera servicio de utilidad pública” (BCN, 2020). La capa contiene información de identificación por código de compañía y su respectiva localización, nombre, dirección y teléfono de contacto. La utilidad de ésta se observa en la capacidad respuesta a emergencias relacionados a desastres naturales, incendios, entre otros. También en términos de planificación y catastro sirve para establecer zonas que tienen falta de entrega de ayudas en caso de cualquier siniestro, de esta forma se pueden elaborar políticas públicas para dar mayor cobertura en cuanto a compañías de bomberos en las distintas zonas.",NA,idóneo,Junta Nacional de Cuerpos de Bomberos de Chile,Junta Nacional de Cuerpos de Bomberos de Chile,Privado,Base,Predio,Punto,2017,Dato abierto,http://www.geoportal.cl/geoportal/catalog/search/resource/resumen.page?uuid=%7B3B6635CC-6216-49BB-BDCA-69DE5E95C5DA%7D,Entregado,SI,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Companias_bomberos,Companias_bomberos,Companias_bomberos
