nombre_shp,nombre_capa,nombre_shp_l
Alimentador_RM,BAS_alimentador_rm,alimentador_rm
Allegamiento,BAS_allegamiento,allegamiento
Antenas_en_Servicio_Ley_de_Torres,BAS_antenas_en_servicio_ley_de_torres,antenas_en_servicio_ley_de_torres
APR_DOH_CHILE,BAS_apr_doh_chile,apr_doh_chile
APR_red,BAS_apr_red,apr_red
areas_monumentos_nacionales,BAS_areas_monumentos_nacionales,areas_monumentos_nacionales
BS14_VULNERAB_NIÑS,BAS_bs14_vulnerab_nins,bs14_vulnerab_niñs
Caserios_2017,BAS_caserios_2017,caserios_2017
centrales_termoele_20181016234834,BAS_centrales_termoele_20181016234834,centrales_termoele_20181016234834
Companias_bomberos,BAS_companias_bomberos,companias_bomberos
COMUNA_C17,BAS_comuna_c17,comuna_c17
Cuarteles_carabineros,BAS_cuarteles_carabineros,cuarteles_carabineros
Directorio_Nac_Empresas,BAS_directorio_nac_empresas,directorio_nac_empresas
DISTRITO_C17,BAS_distrito_c17,distrito_c17
ELEAM_2022,BAS_eleam_2022,eleam_2022
Embalses_DGA_DOH_2016,BAS_embalses_dga_doh_2016,embalses_dga_doh_2016
ENTIDAD_IND_C17,BAS_entidad_ind_c17,entidad_ind_c17
equipamiento_deportivo,BAS_equipamiento_deportivo,equipamiento_deportivo
Escolaridad_jefe_hogar,BAS_escolaridad_jefe_hogar,escolaridad_jefe_hogar
Establec_Salud_14_Mayo_2021,BAS_establec_salud_14_mayo_2021,establec_salud_14_mayo_2021
Establecimientos_Educacionales_2021,BAS_establecimientos_educacionales_2021,establecimientos_educacionales_2021
Ferias_libres,BAS_ferias_libres,ferias_libres
Hacinamiento,BAS_hacinamiento,hacinamiento
inf_red_drenajes,BAS_inf_red_drenajes,inf_red_drenajes
Infraestructura_transmision_energeticaRM,BAS_infraestructura_transmision_energetica_rm,infraestructura_transmision_energeticarm
Inventario_Lagos,BAS_inventario_lagos,inventario_lagos
IS39a_Indice_segregacion_poblacion_vulnerable,BAS_is39a_indice_segregacion_poblacion_vulnerable,is39a_indice_segregacion_poblacion_vulnerable
IS_36_37_Porcentaje_poblacion_situacion_pobreza,BAS_is_36_37_porcentaje_poblacion_situacion_pobreza,is_36_37_porcentaje_poblacion_situacion_pobreza
ISMT_2022_actualizado,BAS_ismt_2022_actualizado,ismt_2022_actualizado
LIMITE_URBANO_CENSAL_C17,BAS_limite_urbano_censal_c17,limite_urbano_censal_c17
LOCALIDAD_C17,BAS_localidad_c17,localidad_c17
luminaria_publica,BAS_luminaria_publica,luminaria_publica
MANZANA_ALDEA_C17,BAS_manzana_aldea_c17,manzana_aldea_c17
MANZANA_IND_C17,BAS_manzana_ind_c17,manzana_ind_c17
Materialidad_vivienda,BAS_materialidad_vivienda,materialidad_vivienda
MUNICIPIOS_RM,BAS_municipios_rm,municipios_rm
OficinasPublicas,BAS_oficinas_publicas,oficinaspublicas
